Subject,Sleep,State,Congruency,Slope
008,SD,Alert,Congruent,3.7978021984599
009,SD,Alert,Congruent,0.876720292699026
012,SD,Alert,Congruent,1.34593829636049
015,SD,Alert,Congruent,8.3364312278985
016,SD,Alert,Congruent,5.33006963109348
017,SD,Alert,Congruent,4.74636580074374
019,SD,Alert,Congruent,4.01037077597331
020,SD,Alert,Congruent,6.53067223710733
021,SD,Alert,Congruent,11.1764309137635
022,SD,Alert,Congruent,-4.45064568720554
023,SD,Alert,Congruent,3.0740786962139
024,SD,Alert,Congruent,19.1774235938741
025,SD,Alert,Congruent,8.21061704687204
026,SD,Alert,Congruent,9.86130384754743
027,SD,Alert,Congruent,16.7103934910508
028,SD,Alert,Congruent,9.97225616100912
029,SD,Alert,Congruent,18.900807368509
032,SD,Alert,Congruent,6.80748351654423
037,SD,Alert,Congruent,0.244774273618579
039,SD,Alert,Congruent,-2.05484736291956
040,SD,Alert,Congruent,0.403595422348655
041,SD,Alert,Congruent,8.20960618675011
050,SD,Alert,Congruent,0.374802090826643
051,SD,Alert,Congruent,12.7826644108815
052,SD,Alert,Congruent,8.79055245426472
001,SD,Alert,Incongruent,4.11802902567015
008,SD,Alert,Incongruent,4.6023099046424
009,SD,Alert,Incongruent,0.717049669001378
012,SD,Alert,Incongruent,0.607771391232715
015,SD,Alert,Incongruent,7.43946930046018
016,SD,Alert,Incongruent,7.78511472477407
017,SD,Alert,Incongruent,5.81401971237136
019,SD,Alert,Incongruent,2.59748803540608
020,SD,Alert,Incongruent,8.08187946150652
021,SD,Alert,Incongruent,11.9623765541777
022,SD,Alert,Incongruent,-1.37753628380524
023,SD,Alert,Incongruent,4.60564885801939
024,SD,Alert,Incongruent,17.6642406018587
025,SD,Alert,Incongruent,3.42633257314953
026,SD,Alert,Incongruent,10.5447197425556
027,SD,Alert,Incongruent,14.4256697409945
028,SD,Alert,Incongruent,10.4947581954201
029,SD,Alert,Incongruent,14.5676392489397
032,SD,Alert,Incongruent,5.51914913198055
037,SD,Alert,Incongruent,2.82088157686155
039,SD,Alert,Incongruent,-1.04167506003592
040,SD,Alert,Incongruent,0.318127772974972
041,SD,Alert,Incongruent,6.21010179168164
050,SD,Alert,Incongruent,0.804315262406458
051,SD,Alert,Incongruent,10.4927981582646
052,SD,Alert,Incongruent,5.08577426050216
001,SD,Drowsy,Congruent,-6.15996542057729
002,SD,Drowsy,Congruent,-0.359935135099014
004,SD,Drowsy,Congruent,0.934182305052791
008,SD,Drowsy,Congruent,1.32687356155112
009,SD,Drowsy,Congruent,4.00873841997321
012,SD,Drowsy,Congruent,6.20562399636763
015,SD,Drowsy,Congruent,1.60000548455344
017,SD,Drowsy,Congruent,6.22843840586287
018,SD,Drowsy,Congruent,3.1159681873574
019,SD,Drowsy,Congruent,5.05611389030219
020,SD,Drowsy,Congruent,-1.28185311017415
021,SD,Drowsy,Congruent,1.29922519593987
022,SD,Drowsy,Congruent,0.0391161052192696
023,SD,Drowsy,Congruent,-1.0371999166123
024,SD,Drowsy,Congruent,11.2739394269505
025,SD,Drowsy,Congruent,2.60140485266823
026,SD,Drowsy,Congruent,2.80673642172405
027,SD,Drowsy,Congruent,-0.500557818093322
028,SD,Drowsy,Congruent,9.24444314563012
030,SD,Drowsy,Congruent,1.64372182254407
031,SD,Drowsy,Congruent,2.48363738196217
032,SD,Drowsy,Congruent,0.739325330471642
035,SD,Drowsy,Congruent,1.89362786380369
037,SD,Drowsy,Congruent,0.912903497610299
038,SD,Drowsy,Congruent,0.948778244804016
039,SD,Drowsy,Congruent,1.6970164684917
040,SD,Drowsy,Congruent,0.709008387915996
041,SD,Drowsy,Congruent,4.2708305852408
042,SD,Drowsy,Congruent,0.870824810104332
050,SD,Drowsy,Congruent,-3.78180851223328
051,SD,Drowsy,Congruent,3.35283321374363
052,SD,Drowsy,Congruent,3.23587756931723
001,SD,Drowsy,Incongruent,-4.61641741612743
002,SD,Drowsy,Incongruent,-0.879711830336408
004,SD,Drowsy,Incongruent,-2.71617656825907
008,SD,Drowsy,Incongruent,4.56040620329339
009,SD,Drowsy,Incongruent,3.49201478612355
012,SD,Drowsy,Incongruent,0.15803828594821
015,SD,Drowsy,Incongruent,2.19358065685443
017,SD,Drowsy,Incongruent,0.658086581225454
018,SD,Drowsy,Incongruent,3.06549545591677
019,SD,Drowsy,Incongruent,3.87911271389915
020,SD,Drowsy,Incongruent,5.76133241030475
021,SD,Drowsy,Incongruent,0.360423065705425
022,SD,Drowsy,Incongruent,-2.2370650139075
023,SD,Drowsy,Incongruent,-5.88878355112334
024,SD,Drowsy,Incongruent,11.9659391186939
025,SD,Drowsy,Incongruent,2.88864449555232
026,SD,Drowsy,Incongruent,3.86663501297726
027,SD,Drowsy,Incongruent,-0.946379608822726
028,SD,Drowsy,Incongruent,4.53983220856182
030,SD,Drowsy,Incongruent,2.05041441089372
031,SD,Drowsy,Incongruent,2.84847982592866
032,SD,Drowsy,Incongruent,1.05409486597641
